Commune,Region,Departement,Nom_monument,Siecle,Latitude,Longitude;
Montils,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Sulpice,12e siecle,45.6479575481, -0.502178880163;
Les Eduts,Nouvelle-Aquitaine,Charente-Maritime,Ancienne eglise Saint-Reverend,12e siecle,45.991114327, -0.216522050081;
Belluire,Nouvelle-Aquitaine,Charente-Maritime,Eglise paroissiale Saint-Jacques,12e siecle,45.5357577073, -0.561340735703;
Meursac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.6494946144, -0.809151991949;
Saint-Georges-des-Coteaux,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Georges,12e siecle,45.7630459518, -0.713196055171;
Saint-Sigismond-de-Clermont,Nouvelle-Aquitaine,Charente-Maritime,Ancienne abbaye de la Tenaille,12e siecle,45.4411676756, -0.554126526851;
Echebrune,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.5795851149, -0.446505871494;
Genouille,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,46.0221402371, -0.784460831688;
Forges,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Laurent,12e siecle,46.1046149548, -0.89401008171;
Saintes,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Eutrope,12e siecle,45.743447842, -0.641350822537;
Biron,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,45.5695479891, -0.47603215916;
Clion,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Andre,12e siecle,45.4800823445, -0.50024477152;
Nieul-les-Saintes,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.7594457805, -0.733037680463;
Saint-Andre-de-Lidon,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Andre,12e siecle,45.6007958817, -0.746650388192;
Marans,Nouvelle-Aquitaine,Charente-Maritime,Ancienne eglise Saint-Etienne,12e siecle,46.305131713, -0.992426949584;
Semoussac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.3866103741, -0.624006264722;
Bords,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vivien,12e siecle,45.896860421, -0.795733828808;
Soubise,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.9264477614, -1.0077143682;
Bresdon,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Alban,12e siecle,45.8770699109, -0.159748819592;
Villexavier,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Christophe,12e siecle,45.3722841326, -0.438408181618;
Mortagne-sur-Gironde,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Etienne,12e siecle,45.4842965442, -0.784242313881;
Dampierre-sur-Boutonne,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,46.066155076, -0.412894815517;
Bernay-Saint-Martin,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,46.0655669853, -0.620132659741;
Corme-Royal,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Nazaire,12e siecle,45.7455335153, -0.81144953349;
Agudelle,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Eutrope,12e siecle,45.3852084688, -0.470930295132;
Saint-Ouen,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Alban,12e siecle,45.8714797865, -0.16277047261;
Juicq,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.8391672936, -0.56266536765;
Bignay,Nouvelle-Aquitaine,Charente-Maritime,Eglise de la Trinite,12e siecle,45.916991536, -0.600944178368;
Chepniers,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Etienne,12e siecle,45.2552274633, -0.309352654157;
Courcoury,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.7123875826, -0.580321007272;
Saint-Porchaire,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Porchaire,12e siecle,45.8213605479, -0.784712368978;
Saint-Martial-de-Mirambeau,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martial,12e siecle,45.3818956002, -0.593827340058;
Saint-Hilaire-du-Bois,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Hilaire,12e siecle,45.417310438, -0.495389361246;
Saint-Bris-des-Bois,Nouvelle-Aquitaine,Charente-Maritime,Vestiges de l'ancienne abbaye de Fontdouce,12e siecle,45.7697261298, -0.457588065885;
Marignac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Sulpice,12e siecle,45.5219825311, -0.476473781526;
Beauvais-sur-Matha,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame de l'Assomption,12e siecle,45.8835388897, -0.185140950042;
Neuillac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.5180586254, -0.398683986094;
Sainte-Lheurine,Nouvelle-Aquitaine,Charente-Maritime,Eglise Sainte-Lheurine,12e siecle,45.5311692289, -0.365134734243;
Chambon,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Jacques-du-Cher,12e siecle,46.0963797445, -0.850266194702;
Saint-Sulpice-de-Royan,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Sulpice,12e siecle,45.6722037783, -1.01547977354;
Haimps,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Symphorien,12e siecle,45.8667745521, -0.257113674712;
Saint-Martial,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martial,12e siecle,46.0478218831, -0.463957254395;
Nuaille-sur-Boutonne,Nouvelle-Aquitaine,Charente-Maritime,Prieure Notre-Dame-d'Oulmes,12e siecle,46.0151017574, -0.392078536226;
Pons,Nouvelle-Aquitaine,Charente-Maritime,Chapelle Saint-Gilles,12e siecle,45.578691827, -0.545882075234;
Saint-Hilaire-de-Villefranche,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Hilaire,12e siecle,45.8506607773, -0.53036585554;
Montpellier-de-Medillan,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.634589737, -0.74305594443;
Surgeres,Nouvelle-Aquitaine,Charente-Maritime,Aumonerie Saint-Gilles ou chapelle des Minimes,12e siecle,46.1028368522, -0.744610692354;
Meux,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.4436795725, -0.347825181455;
Lozay,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,46.0415923303, -0.546123539232;
Lorignac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre-es-Liens,12e siecle,45.4569479241, -0.690657613906;
Saint-Eugene,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Eugene,12e siecle,45.5075407125, -0.28476477888;
Corme-Ecluse,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,45.6309680583, -0.855085353782;
Fontaines-d'Ozillac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.3859458467, -0.379992069278;
Romazieres,Nouvelle-Aquitaine,Charente-Maritime,Eglise de l'Assomption,12e siecle,45.9908653597, -0.174465818289;
La Jarne,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,46.1279313832, -1.07252342257;
Saint-Denis-d'Oleron,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Denis,12e siecle,46.0322115088, -1.37799513426;
Plassac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Laurent,12e siecle,45.4667117729, -0.567786413811;
Taillant,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.9002286399, -0.620841058164;
Saint-Sulpice-d'Arnoult,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Sulpice,12e siecle,45.8049217313, -0.847894684792;
Annepont,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Andre,12e siecle,45.8453820355, -0.61430789468;
Saint-Pierre-du-Palais,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.1666799752, -0.157509791321;
Moings,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.4789169601, -0.35998177406;
Mirambeau,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin du Petit-Niort,12e siecle,45.3621916401, -0.568548669243;
Retaud,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Trojan,12e siecle,45.67773676, -0.728151479089;
Burie,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Leger,12e siecle,45.7722677711, -0.422890452133;
Chaniers,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,45.7166662249, -0.557449587346;
Saint-Sulpice-d'Arnoult,Nouvelle-Aquitaine,Charente-Maritime,Ancien chateau,12e siecle,45.7857376241, -0.835717648328;
Colombiers,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Maclou,12e siecle,45.6443576392, -0.54958416392;
Massac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame-de-l'Assomption,12e siecle,45.8669831858, -0.220837506293;
Fontenet,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vincent,12e siecle,45.9128869509, -0.452191941846;
Marignac,Nouvelle-Aquitaine,Charente-Maritime,Ancienne eglise d'Usseau,12e siecle,45.5098495854, -0.462161903275;
Le Seure,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,45.7899878857, -0.36601312337;
Contre,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Mesme,12e siecle,46.0119148548, -0.284154586766;
Thezac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,45.6717041848, -0.790527437342;
Saint-Georges-Antignac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre d'Antignac,12e siecle,45.4931517188, -0.503290215372;
Geay,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vivien,12e siecle,45.8719006528, -0.764882784087;
Saint-Martin-de-Coux,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.1448921471, -0.108240092033;
Tanzac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Saturnin,12e siecle,45.5649116391, -0.627770909696;
Bouhet,Nouvelle-Aquitaine,Charente-Maritime,Ruines de l'eglise Saint-Laurent,12e siecle,46.165745901, -0.859558887304;
Jazennes,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,45.5822278346, -0.617231603724;
Antezant-la-Chapelle,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Maxime d'Antezant,12e siecle,45.981574494, -0.456176056101;
Mortiers,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.4032412646, -0.321711159832;
Boresse-et-Martron,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame de Boresse,12e siecle,45.2836034005, -0.111140176749;
Saint-Quantin-de-Rancanne,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Quentin,12e siecle,45.5331012912, -0.594567926515;
Coulonges,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Saturnin,12e siecle,45.6093092891, -0.423438403513;
La Jarrie-Audouin,Nouvelle-Aquitaine,Charente-Maritime,Eglise Sainte-Madeleine,12e siecle,46.0261311921, -0.484725797963;
Saint-Mande-sur-Bredoire,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Brice,12e siecle,46.0241384423, -0.302830593093;
Pons,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vivien,12e siecle,45.5731758478, -0.548995759982;
Guitinieres,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Romain,12e siecle,45.4408698406, -0.511643003622;
Matha,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre de Marestay,12e siecle,45.8741581762, -0.312517027031;
La Vallee,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vivien,12e siecle,45.8903707578, -0.839998071096;
Ozillac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Michel,12e siecle,45.3928275644, -0.393293798772;
Neulles,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame de l'Assomption,12e siecle,45.5033691548, -0.416954419532;
Vergeroux,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vivien,12e siecle,45.9593025995, -0.984455961285;
Rioux,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame de l'Assomption,12e siecle,45.6358773023, -0.710808288961;
Saint-Martin-de-Juillers,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Martin,12e siecle,45.9432536291, -0.360726054063;
Puyrolland,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre,12e siecle,46.0275392479, -0.661089755363;
Blanzay-sur-Boutonne,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Andre,12e siecle,46.0488138844, -0.428502031193;
Leoville,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Christophe,12e siecle,45.3792408311, -0.33746325132;
Dolus-d'Oleron,Nouvelle-Aquitaine,Charente-Maritime,Chapelle Saint-Jean-Baptiste de la Perroche,12e siecle,45.9009090433, -1.2990589955;
Grandjean,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Barthelemy,12e siecle,45.8769990806, -0.606647637412;
Saint-Laurent-de-la-Barriere,Nouvelle-Aquitaine,Charente-Maritime,Ruines de l'eglise Saint-Laurent,12e siecle,46.0352734244, -0.700496685269;
Tesson,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Gregoire,12e siecle,45.6323482937, -0.653098721598;
Saint-Palais-de-Phiolin,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Palais,12e siecle,45.5169681065, -0.598240735907;
Jarnac-Champagne,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Sauveur,12e siecle,45.5588490832, -0.401013903414;
Macqueville,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Etienne,12e siecle,45.8002264592, -0.213125481516;
Nuaille-sur-Boutonne,Nouvelle-Aquitaine,Charente-Maritime,Eglise Notre-Dame,12e siecle,46.0131010948, -0.435448633062;
Les Eglises-d'Argenteuil,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vivien,12e siecle,45.9734545059, -0.431184736363;
Breuillet,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vivien,12e siecle,45.6898799508, -1.05161088895;
Medis,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Pierre-es-Liens,12e siecle,45.6425189532, -0.965135882991;
Preguillac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Eulalie,12e siecle,45.6705209401, -0.617034654665;
Vaux-sur-Mer,Nouvelle-Aquitaine,Charente-Maritime,Eglise abbatiale Saint-Etienne,12e siecle,45.6456657259, -1.06273854884;
Saint-Bris-des-Bois,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Brice,12e siecle,45.767605415, -0.490914429413;
Rouffignac,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Vivien,12e siecle,45.3357108878, -0.450181630991;
Saint-Cesaire,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Cezaire,12e siecle,45.7535058749, -0.50627256019;
Saint-Rogatien,Nouvelle-Aquitaine,Charente-Maritime,Eglise Saint-Rogatien Saint-Donatien,12e siecle,46.1512628394, -1.07319379228;
Biron,Nouvelle-Aquitaine,Dordogne,Chateau,12e siecle,44.618489, 0.875709;
Berbiguieres,Nouvelle-Aquitaine,Dordogne,Chateau,12e siecle,44.8340850381, 1.04111806129;
Saint-Germain-du-Salembre,Nouvelle-Aquitaine,Dordogne,Chateau,12e siecle,45.127819, 0.434504;
Ligueux,Nouvelle-Aquitaine,Dordogne,Ancienne abbaye,12e siecle,45.30929, 0.821775;
Payzac,Nouvelle-Aquitaine,Dordogne,Eglise de la Transfiguration,12e siecle,45.419938, 1.230731;
Sadillac,Nouvelle-Aquitaine,Dordogne,Eglise Sainte-Anne,12e siecle,44.73427, 0.483259;
Sainte-Mondane,Nouvelle-Aquitaine,Dordogne,Chateau de Fenelon,12e siecle,44.8421004083, 1.3502745902;
Sarlat-la-Caneda,Nouvelle-Aquitaine,Dordogne,Chapelle des Penitents Bleus ou chapelle Saint-Benoit,12e siecle,44.8885598937, 1.21750414092;
Saint-Pardoux-et-Vielvic,Nouvelle-Aquitaine,Dordogne,Eglise de Saint-Pardoux,12e siecle,44.769589, 0.965319;
Saint-Laurent-la-Vallee,Nouvelle-Aquitaine,Dordogne,Eglise Saint-Laurent,12e siecle,44.755259, 1.117023;
Cause-de-Clerans,Nouvelle-Aquitaine,Dordogne,Chateau de Clerans,12e siecle,44.863456, 0.665962;
Piegut-Pluviers,Nouvelle-Aquitaine,Dordogne,Eglise Saint-Etienne de Pluviers,12e siecle,45.630521, 0.704047;
Valeuil,Nouvelle-Aquitaine,Dordogne,Eglise Saint-Pantaleon,12e siecle,45.332685, 0.618824;
Sorges,Nouvelle-Aquitaine,Dordogne,Eglise Saint-Germain d'Auxerre,12e siecle,45.306124, 0.87177;
Liorac-sur-Louyre,Nouvelle-Aquitaine,Dordogne,Eglise Saint-Martin,12e siecle,44.894316, 0.638118;
Florimont-Gaumier,Nouvelle-Aquitaine,Dordogne,Eglise de Gaumiers,12e siecle,44.7263537096, 1.26321733383;
Jumilhac-le-Grand,Nouvelle-Aquitaine,Dordogne,Eglise Saint-Pierre-es-Liens,12e siecle,45.4924845327, 1.05999469738;
